trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
445,False,"{'a': 0.45, 'e': 0.10860910882495796}",20,8,22.603758776852782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.45, 'e': 0.10806741863482926}",20,14,13.79212656040707,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.45, 'e': 0.10752843013579495}",25,11,23.747104172846054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.45, 'e': 0.10699212985311449}",25,17,13.35142306988709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.45, 'e': 0.1064585043792528}",30,16,24.83930173163322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.45, 'e': 0.10592754037354536}",30,15,28.845464230271304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.45, 'e': 0.10539922456186433}",20,13,-29.813032399778454,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
452,False,"{'a': 0.45, 'e': 0.1048735437362869}",20,13,4.424328430951022,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.45, 'e': 0.104350484754765}",20,6,-24.944996862115424,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
454,False,"{'a': 0.45, 'e': 0.10383003454079692}",20,11,16.39818356732037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.45, 'e': 0.1033121800831002}",25,15,-3.1129968405333757,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
456,False,"{'a': 0.45, 'e': 0.1027969084352864}",20,13,13.90687611841905,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.45, 'e': 0.10228420671553744}",20,8,22.586477447626375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.45, 'e': 0.10177406210628372}",20,10,5.71261996126802,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
459,False,"{'a': 0.45, 'e': 0.1012664618538834}",25,12,18.185442370712835,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
